state_name,month_num,accidents,avg_speed_limit,vehicles_avg,casualties_avg,fatalities_avg,rainy_frac,night_frac,alcohol_frac
Andhra Pradesh,1,4,72.75,2.5,4.25,2.0,0.0,0.25,0.5
Andhra Pradesh,2,4,63.75,2.75,5.5,2.75,0.0,0.5,0.25
Andhra Pradesh,3,5,66.2,3.2,4.6,2.2,0.0,0.4,0.2
Andhra Pradesh,4,7,80.28571428571429,3.2857142857142856,5.428571428571429,3.0,0.14285714285714285,0.5714285714285714,0.5714285714285714
Andhra Pradesh,5,11,84.63636363636364,2.5454545454545454,4.0,1.0,0.0,0.7272727272727273,0.5454545454545454
Andhra Pradesh,6,6,71.83333333333333,2.8333333333333335,4.666666666666667,2.3333333333333335,0.0,0.5,0.16666666666666666
Andhra Pradesh,7,4,79.75,2.75,5.0,2.0,0.25,0.25,0.5
Andhra Pradesh,8,7,82.0,3.142857142857143,3.7142857142857144,2.5714285714285716,0.2857142857142857,0.14285714285714285,0.5714285714285714
Andhra Pradesh,9,3,88.33333333333333,3.6666666666666665,5.666666666666667,2.0,0.3333333333333333,0.3333333333333333,0.0
Andhra Pradesh,10,13,66.46153846153847,3.0,3.923076923076923,3.230769230769231,0.3076923076923077,0.38461538461538464,0.46153846153846156
Andhra Pradesh,11,11,83.81818181818181,3.272727272727273,3.909090909090909,2.4545454545454546,0.18181818181818182,0.45454545454545453,0.6363636363636364
Andhra Pradesh,12,13,78.92307692307692,3.230769230769231,4.230769230769231,2.3076923076923075,0.07692307692307693,0.3076923076923077,0.38461538461538464
Arunachal Pradesh,1,2,82.5,2.0,4.0,4.0,0.5,0.5,0.0
Arunachal Pradesh,2,5,74.0,1.4,5.0,2.8,0.4,0.4,0.6
Arunachal Pradesh,3,3,85.33333333333333,3.0,5.666666666666667,2.6666666666666665,0.3333333333333333,0.3333333333333333,0.3333333333333333
Arunachal Pradesh,4,6,70.5,3.0,5.666666666666667,1.8333333333333333,0.16666666666666666,0.3333333333333333,0.5
Arunachal Pradesh,5,9,72.55555555555556,2.2222222222222223,5.444444444444445,2.7777777777777777,0.3333333333333333,0.3333333333333333,0.5555555555555556
Arunachal Pradesh,6,6,92.0,3.5,4.333333333333333,1.1666666666666667,0.16666666666666666,0.5,0.6666666666666666
Arunachal Pradesh,7,9,76.11111111111111,3.0,5.222222222222222,3.111111111111111,0.3333333333333333,0.2222222222222222,0.2222222222222222
Arunachal Pradesh,8,6,70.83333333333333,2.8333333333333335,1.1666666666666667,2.6666666666666665,0.0,0.3333333333333333,0.5
Arunachal Pradesh,9,6,83.5,3.1666666666666665,3.1666666666666665,2.0,0.0,0.0,0.5
Arunachal Pradesh,10,8,75.0,2.625,4.5,2.5,0.125,0.25,0.625
Arunachal Pradesh,11,10,71.4,3.2,4.1,3.4,0.2,0.3,0.4
Arunachal Pradesh,12,9,72.77777777777777,2.7777777777777777,6.222222222222222,2.5555555555555554,0.4444444444444444,0.1111111111111111,0.6666666666666666
Assam,1,9,78.33333333333333,2.888888888888889,5.444444444444445,2.7777777777777777,0.1111111111111111,0.3333333333333333,0.4444444444444444
Assam,2,6,89.33333333333333,2.8333333333333335,5.833333333333333,3.3333333333333335,0.16666666666666666,0.3333333333333333,0.5
Assam,3,6,55.0,4.333333333333333,5.333333333333333,3.8333333333333335,0.16666666666666666,0.6666666666666666,0.6666666666666666
Assam,4,8,82.125,2.125,4.0,1.875,0.25,0.5,0.625
Assam,5,8,81.125,3.375,5.0,2.125,0.0,0.875,0.625
Assam,6,7,62.285714285714285,3.142857142857143,5.571428571428571,2.2857142857142856,0.0,0.5714285714285714,0.14285714285714285
Assam,7,6,87.66666666666667,2.6666666666666665,4.666666666666667,4.166666666666667,0.3333333333333333,0.3333333333333333,0.6666666666666666
Assam,8,6,58.833333333333336,3.1666666666666665,4.166666666666667,2.8333333333333335,0.3333333333333333,0.6666666666666666,0.5
Assam,9,10,79.8,2.5,4.7,2.5,0.2,0.5,0.6
Assam,10,10,67.0,2.5,4.7,2.2,0.3,0.4,0.7
Assam,11,7,78.0,2.857142857142857,5.285714285714286,1.4285714285714286,0.0,0.2857142857142857,0.5714285714285714
Assam,12,8,74.25,3.25,4.75,2.125,0.0,0.5,0.625
Bihar,1,8,60.375,2.5,5.75,1.75,0.125,0.5,0.125
Bihar,2,8,75.625,2.375,5.25,2.375,0.375,0.625,0.5
Bihar,3,12,83.66666666666667,3.0,5.0,2.0,0.16666666666666666,0.4166666666666667,0.3333333333333333
Bihar,4,6,68.66666666666667,3.8333333333333335,5.833333333333333,3.8333333333333335,0.16666666666666666,0.3333333333333333,0.5
Bihar,5,9,77.22222222222223,2.5555555555555554,7.444444444444445,3.3333333333333335,0.1111111111111111,0.8888888888888888,0.6666666666666666
Bihar,6,4,88.5,4.5,6.25,3.0,0.0,0.25,0.25
Bihar,7,2,44.5,4.5,3.5,2.5,0.0,0.0,0.5
Bihar,8,6,69.66666666666667,3.0,4.333333333333333,2.5,0.16666666666666666,0.5,0.5
Bihar,9,3,63.333333333333336,2.3333333333333335,8.333333333333334,2.0,0.0,0.6666666666666666,1.0
Bihar,10,5,58.0,2.0,4.6,3.4,0.0,0.4,0.6
Bihar,11,6,85.33333333333333,3.3333333333333335,4.666666666666667,1.6666666666666667,0.16666666666666666,0.6666666666666666,0.6666666666666666
Bihar,12,9,88.44444444444444,3.4444444444444446,6.777777777777778,1.8888888888888888,0.2222222222222222,0.5555555555555556,0.3333333333333333
Chandigarh,1,10,86.4,4.0,6.0,2.2,0.1,0.5,0.6
Chandigarh,2,4,72.25,3.25,5.5,2.0,0.5,0.75,0.75
Chandigarh,3,12,75.25,2.5833333333333335,5.333333333333333,2.3333333333333335,0.16666666666666666,0.25,0.4166666666666667
Chandigarh,4,3,69.66666666666667,4.333333333333333,4.333333333333333,2.3333333333333335,0.0,0.6666666666666666,0.3333333333333333
Chandigarh,5,11,77.45454545454545,2.272727272727273,4.454545454545454,3.090909090909091,0.18181818181818182,0.45454545454545453,0.6363636363636364
Chandigarh,6,6,60.833333333333336,3.5,3.5,3.8333333333333335,0.6666666666666666,0.5,0.5
Chandigarh,7,7,70.42857142857143,3.0,4.142857142857143,2.2857142857142856,0.2857142857142857,0.7142857142857143,0.2857142857142857
Chandigarh,8,7,85.28571428571429,2.4285714285714284,3.7142857142857144,3.2857142857142856,0.5714285714285714,0.42857142857142855,0.7142857142857143
Chandigarh,9,5,86.0,3.0,3.0,3.6,0.2,0.6,0.6
Chandigarh,10,5,77.8,3.6,4.8,2.2,0.2,0.2,0.4
Chandigarh,11,7,62.57142857142857,2.857142857142857,5.142857142857143,2.5714285714285716,0.0,0.14285714285714285,0.5714285714285714
Chandigarh,12,5,75.0,3.4,4.6,2.0,0.2,0.4,0.4
Chhattisgarh,1,11,88.0909090909091,3.4545454545454546,5.2727272727272725,3.0,0.2727272727272727,0.2727272727272727,0.45454545454545453
Chhattisgarh,2,4,86.0,2.5,6.0,3.25,0.5,0.25,0.25
Chhattisgarh,3,5,73.0,2.4,5.8,1.8,0.2,0.6,0.6
Chhattisgarh,4,12,74.41666666666667,2.6666666666666665,4.333333333333333,2.8333333333333335,0.16666666666666666,0.4166666666666667,0.5
Chhattisgarh,5,8,52.0,3.5,4.5,2.375,0.125,0.375,0.375
Chhattisgarh,6,3,50.666666666666664,2.6666666666666665,4.333333333333333,0.3333333333333333,0.6666666666666666,0.3333333333333333,1.0
Chhattisgarh,7,13,73.76923076923077,2.6153846153846154,4.923076923076923,2.3846153846153846,0.07692307692307693,0.3076923076923077,0.38461538461538464
